0,1,2
1.1,0.065734625,-0.29682213
1.11,0.067370355,-0.27611455
1.12,0.068570316,-0.25650334
1.13,0.06936985,-0.23798501
1.14,0.06980711,-0.22055611
1.15,0.06992209,-0.20420282
1.16,0.06975651,-0.18890795
1.17,0.069353044,-0.17465094
1.18,0.06875521,-0.16140813
1.1899999,0.068008065,-0.1491541
1.1999999,0.067156315,-0.13786095
1.2099999,0.06624609,-0.12750062
1.22,0.06532323,-0.11804232
1.23,0.06443602,-0.109458536
1.24,0.06363201,-0.10171759
1.25,0.06296009,-0.09478879
1.26,0.062470376,-0.08864081
1.27,0.06221372,-0.08324194
1.28,0.06224084,-0.07855761
1.29,0.06260437,-0.07455325
1.3,0.06335348,-0.07118863
1.31,0.06454086,-0.06842542
1.3199999,0.066213965,-0.06621754
1.3299999,0.068419695,-0.0645175
1.3399999,0.07120216,-0.063274205
1.35,0.074599564,-0.06243086
1.36,0.0786441,-0.061926603
1.37,0.083366334,-0.061700583
1.38,0.088786066,-0.061685503
1.39,0.094916165,-0.0618127
1.4,0.10176474,-0.062014222
1.41,0.10933128,-0.062221527
1.42,0.11760461,-0.06236416
1.43,0.12657541,-0.062380433
1.4399999,0.13622019,-0.062205434
1.4499999,0.14651859,-0.06178415
1.4599999,0.15744004,-0.061062455
1.4699999,0.16895983,-0.059995472
1.48,0.18104531,-0.058542013
1.49,0.19366746,-0.056667805
1.5,0.20680223,-0.05434674
1.51,0.22042152,-0.05155635
1.52,0.23450363,-0.04828173
1.53,0.24902852,-0.044513166
1.54,0.26397905,-0.040246725
1.55,0.27933863,-0.035483718
1.56,0.29509613,-0.030231953
1.5699999,0.3112339,-0.02450198
1.5799999,0.32773796,-0.01831168
1.5899999,0.3445937,-0.0116837025
1.5999999,0.36178306,-0.004645467
1.61,0.3792877,0.0027697682
1.62,0.39708516,0.010525048
1.63,0.41515356,0.018577635
1.64,0.43346685,0.026881516
1.65,0.45200264,0.03538841
1.66,0.47073328,0.044046402
1.67,0.48963583,0.052803278
1.68,0.50868505,0.061604142
1.6899999,0.52786386,0.070396364
1.6999999,0.54715157,0.07912624
1.7099999,0.5665337,0.08774221
1.7199999,0.58599734,0.096192956
1.73,0.6055351,0.10442901
1.74,0.62514085,0.11240101
1.75,0.6448143,0.12006068
1.76,0.6645565,0.12735999
