0,1,2
0.71,-0.38229144,-1.7483914
0.71999997,-0.36117274,-1.7047377
0.72999996,-0.3408336,-1.6597651
0.74,-0.32124254,-1.6139563
0.75,-0.30236316,-1.5676708
0.76,-0.28415528,-1.5211692
0.77,-0.26657075,-1.4746361
0.78,-0.24955672,-1.428217
0.78999996,-0.23305893,-1.3820355
0.79999995,-0.21702659,-1.3362136
0.81,-0.20141798,-1.2908645
0.82,-0.1862008,-1.2460916
0.83,-0.17135388,-1.2019817
0.84,-0.15686518,-1.158597
0.84999996,-0.14272851,-1.1159793
0.85999995,-0.12894237,-1.0741487
0.87,-0.11550766,-1.0331082
0.88,-0.10242629,-0.9928465
0.89,-0.0897007,-0.95334923
0.9,-0.077335894,-0.91459644
0.90999997,-0.065337956,-0.8765713
0.91999996,-0.05371487,-0.83926207
0.93,-0.042478263,-0.80266523
0.94,-0.031642377,-0.7667861
0.95,-0.02122426,-0.7316355
0.96,-0.011243403,-0.69723284
0.96999997,-0.0017213225,-0.6636032
0.97999996,0.0073206425,-0.63077295
0.98999995,0.015861869,-0.59877074
1.0,0.023881793,-0.5676251
1.01,0.031363547,-0.53736496
1.02,0.038293242,-0.50801456
1.03,0.04466051,-0.47959715
1.04,0.05045879,-0.4521352
1.05,0.05568725,-0.42564604
1.06,0.060347974,-0.4001458
1.0699999,0.064448595,-0.37564853
1.0799999,0.06800091,-0.35216337
1.09,0.07102245,-0.3297013
1.1,0.073533356,-0.30826604
1.11,0.07556021,-0.2878627
1.12,0.07713324,-0.2684934
1.13,0.07828671,-0.25015494
1.14,0.07905984,-0.23284866
1.15,0.07949448,-0.21656649
1.16,0.07963699,-0.20130494
1.17,0.0795365,-0.18705451
1.18,0.079244375,-0.1738042
1.1899999,0.078814924,-0.16154227
1.1999999,0.078303635,-0.1502519
1.2099999,0.07776761,-0.13991514
1.22,0.07726359,-0.1305081
1.23,0.076848626,-0.12200487
1.24,0.07657915,-0.11437419
1.25,0.07650906,-0.10757953
1.26,0.07669014,-0.101579726
1.27,0.077172816,-0.09633148
1.28,0.07800436,-0.09178698
1.29,0.079227746,-0.08789319
1.3,0.08088428,-0.08459717
1.31,0.083010554,-0.08184081
1.3199999,0.08564365,-0.0795694
1.3299999,0.088816166,-0.07772416
1.3399999,0.0925588,-0.0762465
1.35,0.09690231,-0.07507998
1.36,0.10187262,-0.07416457
1.37,0.10749519,-0.07344252
1.38,0.11379197,-0.07285446
1.39,0.12078294,-0.07234228
1.4,0.12848085,-0.07184565
1.41,0.13689235,-0.07130349
1.42,0.1460185,-0.07065618
1.43,0.15585318,-0.069845915
1.4399999,0.16638187,-0.06881583
1.4499999,0.17758402,-0.06751466
1.4599999,0.18942651,-0.06589252
1.4699999,0.20187703,-0.06390941
1.48,0.2148948,-0.061529458
1.49,0.22844096,-0.05872786
1.5,0.24247372,-0.055484474
1.51,0.2569557,-0.051789343
1.52,0.27185026,-0.0476377
1.53,0.2871271,-0.043032885
1.54,0.30275798,-0.03798181
1.55,0.31872308,-0.032498837
1.56,0.33500376,-0.026599824
1.5699999,0.35158622,-0.020306468
1.5799999,0.3684582,-0.013642907
1.5899999,0.38561365,-0.006637633
1.5999999,0.40304282,0.0006777048
1.61,0.42073944,0.008267999
1.62,0.4387009,0.01609385
1.63,0.4569158,0.024113655
1.64,0.4753814,0.032280385
1.65,0.49408895,0.040546298
1.66,0.5130285,0.048860073
1.67,0.53219116,0.057169437
1.68,0.55156404,0.06542027
1.6899999,0.5711365,0.07355803
1.6999999,0.5908924,0.08152932
1.7099999,0.6108174,0.08927995
1.7199999,0.63089544,0.096758425
1.73,0.65111023,0.10391259
1.74,0.67144877,0.11069363
1.75,0.691895,0.11705184
1.76,0.7124398,0.12294054
1.77,0.73307145,0.12831414
1.78,0.7537793,0.13312733
1.79,0.77456087,0.1373356
1.8,0.7954103,0.14089584
1.81,0.8163244,0.14376652
1.8199999,0.8373011,0.1459052
1.8299999,0.85833836,0.14727306
1.8399999,0.8794355,0.14783001
1.8499999,0.90058976,0.14753717
1.86,0.9217986,0.14635867
1.87,0.9430517,0.14426124
1.88,0.9643474,0.14120984
1.89,0.98567474,0.13717443
1.9,1.0070217,0.1321261
1.91,1.0283732,0.12603891
1.92,1.0497171,0.11888814
1.93,1.0710343,0.11065251
1.9399999,1.0923086,0.101311564
1.9499999,1.1135201,0.09084666
1.9599999,1.1346471,0.07924384
1.9699999,1.1556712,0.066485345
1.9799999,1.1765707,0.052559435
1.99,1.1973233,0.03745365
2.0,1.2179096,0.021155953
2.01,1.2383074,0.003651917
2.02,1.2584958,-0.015069902
2.03,1.2784535,-0.03502369
2.04,1.2981584,-0.056223273
2.05,1.3175887,-0.07868558
2.06,1.3367202,-0.10242778
2.07,1.3555276,-0.127469
2.08,1.3739839,-0.15383035
2.09,1.3920565,-0.18153167
2.1,1.4097096,-0.21059197
2.11,1.4269023,-0.24103308
2.12,1.4435867,-0.27286935
2.1299999,1.4597089,-0.3061116
2.1399999,1.4752085,-0.34076962
2.1499999,1.4900162,-0.3768444
2.1599998,1.5040567,-0.41432965
2.1699998,1.5172484,-0.45321175
2.18,1.5295031,-0.49347135
2.19,1.5407268,-0.53507984
2.2,1.550823,-0.5780039
2.21,1.5596893,-0.62220365
2.22,1.5672185,-0.6676355
2.23,1.5732989,-0.71425134
2.24,1.5778091,-0.7620032
2.25,1.5806174,-0.81083053
2.26,1.5815732,-0.860677
2.27,1.5805067,-0.9114573
2.28,1.5772178,-0.9630681
2.29,1.5714753,-1.0153679
2.3,1.5630181,-1.0681549
2.31,1.5515563,-1.1211641
2.32,1.5367827,-1.1740526
2.33,1.5183887,-1.2264006
2.34,1.4960761,-1.277735
2.35,1.4695749,-1.3275557
2.36,1.4386675,-1.3753673
2.37,1.4032226,-1.4207067
2.3799999,1.3632612,-1.4631436
2.3899999,1.3190123,-1.5022969
2.3999999,1.2709002,-1.5378878
2.4099998,1.2194824,-1.569783
2.4199998,1.1653216,-1.5980325
2.4299998,1.1089425,-1.6228232
2.44,1.0507879,-1.6444442
2.45,0.991243,-1.6632246
2.46,0.93062365,-1.6795024
2.47,0.8691937,-1.6935823
2.48,0.80718076,-1.7057216
2.49,0.7447983,-1.7161281
2.5,0.68224806,-1.724977
2.51,0.6197144,-1.7324282
2.52,0.55735993,-1.738635
2.53,0.49531063,-1.7437482
2.54,0.43365985,-1.7479131
2.55,0.37245947,-1.7512662
2.56,0.31174076,-1.7539306
2.57,0.25151464,-1.756016
2.58,0.19178054,-1.757621
2.59,0.13253322,-1.7588339
2.6,0.073768884,-1.7597358
2.61,0.015488178,-1.7604021
2.62,-0.04230249,-1.7609026
2.6299999,-0.09958503,-1.7613014
2.6399999,-0.1563268,-1.7616543
2.6499999,-0.21249008,-1.7620069
2.6599998,-0.26801714,-1.762392
2.6699998,-0.32284856,-1.7628278
2.6799998,-0.37691572,-1.7633159
2.69,-0.43015242,-1.7638392
2.7,-0.48249114,-1.764362
