t,x,y
0.8201237321,-0.8688047528,-0.7207832932
0.8301253915,-0.8811761737,-0.6934345961
0.8401270509,-0.8923212886,-0.6656935811
0.8501287103,-0.9023402333,-0.6375725865
0.8601303697,-0.9113252163,-0.6090743542
0.8701320291,-0.9193599820,-0.5801950097
0.8801336884,-0.9265205264,-0.5509249568
0.8901353478,-0.9328765273,-0.5212495923
0.9001370072,-0.9384922981,-0.4911537170
0.9101386666,-0.9434260130,-0.4606184959
0.9201403260,-0.9477312565,-0.4296261668
0.9301419854,-0.9514565468,-0.3981668651
0.9401436448,-0.9546460509,-0.3662125766
0.9501453042,-0.9573388100,-0.3337603807
0.9601469636,-0.9595698714,-0.3008063138
0.9701486230,-0.9613695145,-0.2673481703
0.9801502824,-0.9627633691,-0.2333962619
0.9901519418,-0.9637730718,-0.1989645660
1.0001535416,-0.9644153714,-0.1640768051
1.0101552010,-0.9647028446,-0.1287659556
1.0201568604,-0.9646439552,-0.0930726528
1.0301585197,-0.9642429948,-0.0570448302
1.0401601791,-0.9635003209,-0.0207385011
1.0501618385,-0.9624129534,0.0157847255
1.0601634979,-0.9609740973,0.0524562970
1.0701651573,-0.9591737390,0.0892063752
1.0801668167,-0.9569993615,0.1259595454
1.0901684761,-0.9544353485,0.1626463085
1.1001701355,-0.9514638782,0.1991880089
1.1101717949,-0.9480646253,0.2355108112
1.1201734543,-0.9442151785,0.2715521157
1.1301751137,-0.9398916364,0.3072338998
1.1401767731,-0.9350680709,0.3424972892
1.1501784325,-0.9297168255,0.3773062229
1.1601800919,-0.9238089919,0.4115732312
1.1701817513,-0.9173144698,0.4452631772
1.1801834106,-0.9102016091,0.4783341587
1.1901850700,-0.9024379253,0.5107700825
1.2001867294,-0.8939900398,0.5425053835
1.2101883888,-0.8848239779,0.5734844804
1.2201900482,-0.8749046922,0.6037138700
1.2301917076,-0.8641972542,0.6331537366
1.2401933670,-0.8526667953,0.6617729664
1.2501950264,-0.8402778506,0.6895405054
1.2601966858,-0.8269963264,0.7164332867
1.2701983452,-0.8127888441,0.7424157858
1.2802000046,-0.7976226211,0.7674635053
1.2902016640,-0.7814671397,0.7915362716
1.3002033234,-0.7642939687,0.8146003485
1.3102049828,-0.7460766435,0.8366152048
1.3202066422,-0.7267921567,0.8575324416
1.3302083015,-0.7064208388,0.8773060441
1.3402099609,-0.6849473119,0.8958805799
1.3502116203,-0.6623610258,0.9131965637
1.3602132797,-0.6386566162,0.9291870594
1.3702149391,-0.6138340831,0.9437820315
1.3802165985,-0.5879018903,0.9569034576
1.3902182579,-0.5608716607,0.9684680700
1.4002199173,-0.5327654481,0.9783862829
1.4102215767,-0.5036132932,0.9865638018
1.4202232361,-0.4734530747,0.9929004908
1.4302248955,-0.4423316717,0.9972915649
1.4402265549,-0.4103054106,0.9996290207
1.4502282143,-0.3774399757,0.9998015165
1.4602298737,-0.3438108265,0.9976963997
1.4702315331,-0.3095028400,0.9932006598
1.4802331924,-0.2746108174,0.9862031937
1.4902348518,-0.2392386049,0.9765955806
1.5002365112,-0.2034988105,0.9642753005
1.5102381706,-0.1675129533,0.9491476417
1.5202398300,-0.1314093620,0.9311279058
1.5302414894,-0.0953229815,0.9101438522
1.5402431488,-0.0593943931,0.8861389756
1.5502448082,-0.0237679817,0.8590765595
1.5602464676,0.0114092659,0.8289360404
1.5702481270,0.0459893383,0.7957233787
1.5802497864,0.0798250362,0.7594695091
1.5902514458,0.1127717569,0.7202280760
1.6002531052,0.1446891576,0.6780810952
1.6102547646,0.1754428744,0.6331351995
1.6202564240,0.2049063146,0.5855329633
1.6302580833,0.2329614013,0.5354259014
1.6402597427,0.2595010400,0.4829977453
1.6502614021,0.2844279408,0.4284470081
1.6602630615,0.3076563179,0.3719954789
1.6702647209,0.3291119635,0.3138786256
1.6802663803,0.3487309515,0.2543231547
1.6902680397,0.3664583266,0.1935706735
1.7002696991,0.3822489977,0.1318556666
1.7102713585,0.3960647285,0.0694516301
1.7202730179,0.4078719616,0.0065574055
1.7302746773,0.4176403284,-0.0565946475
1.7402763367,0.4253402650,-0.1197878495
1.7502779961,0.4309397340,-0.1828172654
1.7602796555,0.4344024360,-0.2454976887
1.7702813148,0.4356837869,-0.3076313734
1.7802829742,0.4347287714,-0.3690453768
1.7902846336,0.4314680398,-0.4295707941
1.8002862930,0.4258141816,-0.4890303612
1.8102879524,0.4176560938,-0.5472410917
1.8202896118,0.4068565965,-0.6040083170
1.8302912712,0.3932444751,-0.6591095328
1.8402929306,0.3766081333,-0.7122807503
1.8502945900,0.3566898108,-0.7632014155
1.8602962494,0.3331765234,-0.8114570379
1.8702979088,0.3057019711,-0.8565081358
1.8802995682,0.2738538384,-0.8976258636
1.8903012276,0.2372141778,-0.9338245392
1.9003028870,0.1954678595,-0.9637820125
1.9103045464,0.1486270577,-0.9858145714
1.9203062057,0.0973932818,-0.9980457425
1.9303078651,0.0434790924,-0.9989210367
1.9403095245,-0.0105596986,-0.9879519343
1.9503111839,-0.0621585213,-0.9660456777
1.9603128433,-0.1095787585,-0.9350333810
1.9703145027,-0.1520799696,-0.8969061971
1.9803161621,-0.1896086633,-0.8533529639
1.9903178215,-0.2224431187,-0.8056526184
2.0003190041,-0.2509717941,-0.7547355890
2.0103087425,-0.2755855620,-0.7012720704
2.0202984810,-0.2966372073,-0.6457583308
2.0302882195,-0.3144282401,-0.5885614753
2.0402779579,-0.3292111456,-0.5299765468
2.0502676964,-0.3411945105,-0.4702281654
2.0602574348,-0.3505484462,-0.4095197618
2.0702471733,-0.3574137688,-0.3480232656
2.0802369118,-0.3619033992,-0.2859029770
2.0902266502,-0.3641096056,-0.2233164907
2.1002163887,-0.3641078770,-0.1604135185
2.1102061272,-0.3619596064,-0.0973503292
2.1201958656,-0.3577164412,-0.0343037471
2.1301856041,-0.3514225185,0.0285618603
2.1401753426,-0.3431167006,0.0910667181
2.1501650810,-0.3328362107,0.1529949307
2.1601548195,-0.3206175566,0.2142320275
2.1701445580,-0.3064997494,0.2744588852
2.1801342964,-0.2905247808,0.3334659636
2.1901240349,-0.2727415264,0.3910532594
2.2001137733,-0.2532055676,0.4471305013
2.2101035118,-0.2319796830,0.5013177991
2.2200932503,-0.2091355324,0.5534124374
2.2300829887,-0.1847541779,0.6033269763
2.2400727272,-0.1589259952,0.6507768035
2.2500624657,-0.1317492425,0.6956111789
2.2600522041,-0.1033317149,0.7376772761
2.2700419426,-0.0737878904,0.7768536210
2.2800316811,-0.0432387628,0.8129932284
2.2900214195,-0.0118103009,0.8460414410
2.3000111580,0.0203680079,0.8759162426
2.3100008965,0.0531644784,0.9025611281
2.3199906349,0.0864467844,0.9259521961
2.3299803734,0.1200835034,0.9460822344
2.3399701118,0.1539448351,0.9629672170
2.3499598503,0.1879047006,0.9766318798
2.3599495888,0.2218412161,0.9871140122
2.3699393272,0.2556376755,0.9944596887
2.3799290657,0.2891832590,0.9987304211
2.3899188042,0.3223744333,0.9999917746
2.3999085426,0.3551142216,0.9983161688
2.4098982811,0.3873128593,0.9937735796
2.4198880196,0.4188883603,0.9864432812
2.4298777580,0.4497660398,0.9764066935
2.4398674965,0.4798789918,0.9637188911
2.4498572350,0.5091676712,0.9484931231
2.4598469734,0.5375792980,0.9307526350
2.4698367119,0.5650691986,0.9106245041
2.4798264503,0.5915974379,0.8881457448
2.4898161888,0.6171324849,0.8633697629
2.4998059273,0.6416465640,0.8364135623
2.5097956657,0.6651186943,0.8073239923
2.5197854042,0.6875319481,0.7762383223
2.5297751427,0.7088757753,0.7431399226
2.5397648811,0.7291426063,0.7081146240
2.5497546196,0.7483296394,0.6712532640
2.5597443581,0.7664370537,0.6326513886
2.5697340965,0.7834695578,0.5924091339
2.5797238350,0.7994343042,0.5506307483
2.5897135735,0.8143426776,0.5074246526
2.5997033119,0.8282077909,0.4629028738
2.6096930504,0.8410469890,0.4171807766
2.6196827888,0.8528797626,0.3703947067
2.6296725273,0.8637279272,0.3228114247
2.6396622658,0.8736170530,0.2745450139
2.6496520042,0.8825728297,0.2257723808
2.6596417427,0.8906240463,0.1765356809
2.6696314812,0.8978008032,0.1271811873
2.6796212196,0.9041339755,0.0777349398
2.6896109581,0.9096547365,0.0284903161
2.6996006966,0.9143924713,-0.0205108523
2.7095904350,0.9183768630,-0.0690413043
2.7195801735,0.9216337204,-0.1169741079
2.7295699120,0.9241868258,-0.1641955674
2.7395596504,0.9260555506,-0.2106407732
2.7495493889,0.9272540808,-0.2561762631
2.7595391273,0.9277915955,-0.3007270694
2.7695288658,0.9276703596,-0.3442288041
2.7795186043,0.9268869162,-0.3867079616
2.7895083427,0.9254299998,-0.4280378222
2.7994980812,0.9232808948,-0.4683098197
2.8094878197,0.9204133153,-0.5073789954
2.8194775581,0.9167920351,-0.5453213453
2.8294672966,0.9123739004,-0.5821775794
2.8394570351,0.9071068764,-0.6178743243
2.8494467735,0.9009289742,-0.6524640322
2.8594365120,0.8937688470,-0.6859855652
2.8694262505,0.8855429888,-0.7183592319
2.8794159889,0.8761560917,-0.7495981455
2.8894057274,0.8654988408,-0.7796672583
2.8993954659,0.8534467816,-0.8085504174
2.9093852043,0.8398563862,-0.8361659050
2.9193749428,0.8245624900,-0.8624354601
2.9293646812,0.8073732853,-0.8872545362
2.9393544197,0.7880654335,-0.9104618430
2.9493441582,0.7663767934,-0.9318622351
2.9593338966,0.7419975400,-0.9511852860
2.9693236351,0.7145612240,-0.9680798650
2.9793133736,0.6836324930,-0.9820828438
2.9893031120,0.6486992240,-0.9925814271
2.9992928505,0.6091780663,-0.9987697005
3.0092825890,0.5644523501,-0.9996111393
3.0192723274,0.5139853954,-0.9938368797
3.0292620659,0.4575805962,-0.9800795913
3.0392518044,0.3957964182,-0.9572649598
3.0492415428,0.3302882314,-0.9252542853
3.0592312813,0.2635632455,-0.8852761984
3.0692210197,0.1980795115,-0.8395431638
3.0792107582,0.1354747564,-0.7903784513
3.0892004967,0.0764725432,-0.7396088243
3.0991902351,0.0211865716,-0.6884679794
3.1091799736,-0.0305695366,-0.6377320290
3.1191697121,-0.0790940002,-0.5878687501
3.1291594505,-0.1247043908,-0.5391619802
3.1391491890,-0.1677001119,-0.4917763472
3.1491389275,-0.2083481699,-0.4458151758
3.1591286659,-0.2468824834,-0.4013362527
3.1691184044,-0.2835057378,-0.3583757877
3.1791081429,-0.3183930814,-0.3169442713
3.1890978813,-0.3516960740,-0.2770564258
3.1990876198,-0.3835462332,-0.2387036234
3.2090773582,-0.4140567482,-0.2018926144
3.2190670967,-0.4433283508,-0.1666064113
3.2290568352,-0.4714458585,-0.1328297555
3.2390465736,-0.4984839261,-0.1005492136
3.2490363121,-0.5245069861,-0.0697541386
3.2590260506,-0.5495705009,-0.0404237844
3.2690157890,-0.5737217069,-0.0125204269
3.2790055275,-0.5969995856,0.0139537454
3.2889952660,-0.6194370985,0.0390583202
3.2989850044,-0.6410608888,0.0628086627
3.3089747429,-0.6618913412,0.0852436349
3.3189644814,-0.6819440126,0.1064028069
3.3289542198,-0.7012298703,0.1263465881
3.3389439583,-0.7197558880,0.1451204270
3.3489336967,-0.7375261784,0.1627789736
3.3589234352,-0.7545421124,0.1793789268
3.3689131737,-0.7708033919,0.1949767917
3.3789029121,-0.7863091826,0.2096751481
3.3888926506,-0.8010582328,0.2234944105
3.3988823891,-0.8150503039,0.2365536094
3.4088721275,-0.8282866478,0.2489070892
3.4188618660,-0.8407701850,0.2606217861
3.4288516045,-0.8525061011,0.2717751265
