0,1,2
0.71999997,0.74129003,0.22609821
0.72999996,0.7329605,0.22881992
0.74,0.72446495,0.23150368
0.75,0.71579874,0.23414798
0.76,0.7069581,0.23675005
0.77,0.6979399,0.23930837
0.78,0.68873924,0.24182044
0.78999996,0.6793523,0.24428387
0.79999995,0.66977525,0.2466955
0.81,0.66000336,0.24905317
0.82,0.65003294,0.2513533
0.83,0.63985896,0.25359276
0.84,0.6294777,0.25576788
0.84999996,0.61888474,0.2578753
0.85999995,0.6080756,0.25991052
0.87,0.59704614,0.2618697
0.88,0.5857917,0.26374784
0.89,0.5743076,0.26554087
0.9,0.56258917,0.26724324
0.90999997,0.5506306,0.26884988
0.91999996,0.5384262,0.27035496
0.93,0.5259686,0.2717528
0.94,0.51325023,0.27303642
0.95,0.5002627,0.27419952
0.96,0.48699528,0.2752341
0.96999997,0.47343594,0.27613217
0.97999996,0.45957166,0.27688414
0.98999995,0.44538736,0.27748007
1.0,0.43086678,0.27790794
1.01,0.41599244,0.27815428
1.02,0.4007467,0.278204
1.03,0.38511133,0.27803978
1.04,0.36906964,0.27764124
1.05,0.35260534,0.27698547
1.06,0.33570474,0.2760468
1.0699999,0.31835538,0.2747956
1.0799999,0.30054718,0.27319822
1.09,0.282268,0.27121606
1.1,0.26350474,0.26880515
1.11,0.24423866,0.26591325
1.12,0.22444247,0.2624781
1.13,0.20408241,0.2584254
1.14,0.18311648,0.25366378
1.15,0.16149847,0.24808134
1.16,0.13918069,0.24153952
1.17,0.116114736,0.23386343
1.18,0.09225245,0.22482964
1.1899999,0.067549124,0.21414639
1.1999999,0.041990697,0.20143467
1.2099999,0.015660122,0.1862198
1.22,-0.011148587,0.16794586
1.23,-0.037801713,0.14599395
1.24,-0.063252315,0.119609214
1.25,-0.08598943,0.08778931
1.26,-0.103805974,0.050030872
1.27,-0.11407448,0.008305302
1.28,-0.115914755,-0.033729702
1.29,-0.11059511,-0.07363988
1.3,-0.09977597,-0.110403314
1.31,-0.08512323,-0.14380677
1.3199999,-0.06814234,-0.17404234
1.3299999,-0.04994271,-0.20144476
1.3399999,-0.031216599,-0.22638062
1.35,-0.012348011,-0.24920627
1.36,0.0064720884,-0.27024755
1.37,0.025158793,-0.28978693
1.38,0.04368238,-0.30806318
1.39,0.06203814,-0.32527083
1.4,0.08023061,-0.3415673
1.41,0.098265246,-0.35707647
1.42,0.116144836,-0.37189674
1.43,0.13386856,-0.38610518
1.4399999,0.15143318,-0.3997627
1.4499999,0.16883282,-0.4129185
1.4599999,0.18606122,-0.42561367
1.4699999,0.20311297,-0.43788224
1.48,0.21998556,-0.4497554
1.49,0.2366774,-0.46126148
1.5,0.25319135,-0.47242653
1.51,0.2695322,-0.483276
1.52,0.28570688,-0.49383256
1.53,0.3017221,-0.50411767
1.54,0.31758606,-0.51415056
1.55,0.33330524,-0.52394813
1.56,0.34888655,-0.5335258
1.5699999,0.36433572,-0.54289734
1.5799999,0.3796574,-0.5520743
1.5899999,0.39485526,-0.5610676
1.5999999,0.4099326,-0.56988555
1.61,0.42489243,-0.5785373
1.62,0.4397372,-0.58703035
1.63,0.45446897,-0.59537154
1.64,0.46908927,-0.60356694
1.65,0.4836008,-0.6116229
1.66,0.4980051,-0.6195446
1.67,0.5123035,-0.6273371
1.68,0.5264987,-0.63500553
1.6899999,0.54059297,-0.6425548
1.6999999,0.55458736,-0.64998883
1.7099999,0.56848526,-0.657313
