t,x,y
3.5999999046,0.1971061677,-0.0302107148
3.6099998951,0.2225841582,-0.0189236011
3.6199998856,0.2459633499,-0.0074512050
3.6299998760,0.2676166296,0.0040774229
3.6399998665,0.2878165543,0.0155863650
3.6499998569,0.3067690134,0.0270293336
3.6599998474,0.3246345818,0.0383775681
3.6699998379,0.3415403664,0.0496131368
3.6799998283,0.3575897515,0.0607249215
3.6899998188,0.3728680611,0.0717061758
3.6999998093,0.3874463737,0.0825531706
3.7099997997,0.4013850391,0.0932640955
3.7199997902,0.4147354662,0.1038385034
3.7300000191,0.4275422096,0.1142769754
3.7400000095,0.4398441017,0.1245805919
3.7500000000,0.4516753256,0.1347510666
3.7599999905,0.4630657732,0.1447901279
3.7699999809,0.4740421474,0.1546999216
3.7799999714,0.4846283793,0.1644823253
3.7899999619,0.4948459566,0.1741396487
3.7999999523,0.5047137737,0.1836739928
3.8099999428,0.5142497420,0.1930875331
3.8199999332,0.5234697461,0.2023825049
3.8299999237,0.5323880911,0.2115609497
3.8399999142,0.5410182476,0.2206249237
3.8499999046,0.5493724942,0.2295765877
3.8599998951,0.5574620962,0.2384174764
3.8699998856,0.5652973056,0.2471495867
3.8799998760,0.5728880167,0.2557748854
3.8899998665,0.5802429318,0.2642948627
3.8999998569,0.5873704553,0.2727112174
3.9099998474,0.5942782760,0.2810255885
3.9199998379,0.6009737849,0.2892396748
3.9299998283,0.6074634790,0.2973546088
3.9399998188,0.6137536764,0.3053721786
3.9499998093,0.6198508143,0.3132934570
3.9599997997,0.6257603168,0.3211197555
3.9699997902,0.6314875484,0.3288525939
3.9799997807,0.6370370388,0.3364930451
3.9900000095,0.6424134374,0.3440421820
4.0000000000,0.6476222277,0.3515013158
